Player ID,Year,Player,Team,Pos,G,MP,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/40,erO,erD,erT,Wins Added,W/40 gm,W/40 min
mcgeepa01w,1997,Pamela McGee,SAC,F-C,27,691,27,691,14.5,0.525,0.464,0.032,0.505,9.5,10.9,6.1,2.1,1.6,21.2,22.3,94,101,1.2,-0.1,1,0.06,-0.586751858,-2.323548945,-2.910300803,0.623682098,0.890974425,0.03610316
byearla01w,1997,Latasha Byears,SAC,G-F,28,656,28,656,19.2,0.51,0.462,0.024,0.33,16.1,18.5,15.4,3.2,1,21.9,20.9,97,96,1.5,0.4,1.9,0.116,1.52071709,-0.390675127,1.130041963,2.027163052,2.895947217,0.123607503
abrahta01w,1997,Tajama Abraham,SAC,C,28,422,28,422,6.4,0.427,0.381,0,0.302,9.2,10,6,1.5,2.3,25.6,20.3,76,102,-0.6,-0.2,-0.8,-0.077,-4.401461419,-3.331998927,-7.733460346,-0.721146902,-1.030209859,-0.068355157
mosleju01w,1997,Judy Mosley-McAfee,SAC,F,13,265,13,265,8.4,0.501,0.44,0,0.22,11,11.2,7,1.6,0.6,30.4,13.3,86,103,0,-0.1,-0.1,-0.019,-1.259677082,-3.541260663,-4.800937745,-0.032088842,-0.045841204,-0.004843599
yasenco01w,1997,Corissa Yasen,SAC,G,19,188,19,188,11.1,0.417,0.404,0.018,0.211,7.8,6.7,6.4,5.1,0.8,20.4,18.6,79,98,-0.2,0.1,-0.1,-0.022,-1.831585217,0.780944925,-1.050640292,0.358981502,0.512830717,0.076379043
hagiwmi01w,1997,Mikiko Hagiwara,SAC,G,14,174,14,174,7.7,0.433,0.415,0.702,0.128,1.4,3.3,10.7,0.6,0.9,15.3,15.1,90,107,0.1,-0.2,-0.1,-0.028,-2.384343152,-4.613326437,-6.997669589,-0.228025501,-0.325750716,-0.052419655
savasla01w,1997,Laure Savasta,SAC,G,14,157,14,157,-0.5,0.337,0.289,0.444,0.2,0.8,2.4,13.8,1.4,0.5,30,19.9,61,106,-0.6,-0.2,-0.8,-0.204,-7.544241615,-5.212983937,-12.75722555,-0.695345627,-0.993350895,-0.177158121
angelyv01w,1997,Yvette Angel,SAC,G,5,90,5,90,7.8,0.404,0.438,0.313,0.188,2.7,6.3,22.4,2.4,0.9,31.6,12.6,75,102,-0.1,0,-0.1,-0.061,-1.90184354,-2.106910271,-4.008753811,0.027704804,0.039578291,0.012313246
gravede01w,1997,Denique Graves,SAC,C,22,86,22,86,-5.1,0.262,0.222,0,0.296,4.2,11,0,0,5.5,28.2,22.1,45,101,-0.6,0,-0.6,-0.287,-13.52224661,-4.070047659,-17.59229427,-0.606029881,-0.865756973,-0.281874363
clarkma01w,1997,Margold Clark,SAC,F-C,4,46,4,46,4.1,0.509,0.5,0.167,0.333,0,8.2,3.9,1.2,1.7,22.5,8.6,86,101,0,0,0,-0.007,-3.734023404,-2.210794094,-5.944817499,-0.034059952,-0.048657075,-0.02961735
viglida01w,1997,Danielle Viglione,SAC,G,7,30,7,30,5.7,0.318,0.318,0.364,0,4.1,8.4,6.4,1.8,0,0,16.4,86,102,0,0,0,-0.01,-4.221661344,-2.274788651,-6.496449995,-0.031173311,-0.044533302,-0.041564415
palmewe01w,1997,Wendy Palmer,UTA,F,28,936,28,936,18.7,0.446,0.388,0.114,0.412,9,13.9,12.2,2.7,0.5,12.5,27,93,97,1.6,0.4,2,0.083,-0.438556037,-0.803201234,-1.241757271,1.690413607,2.414876582,0.072239898
baranel01w,1997,Elena Baranova,UTA,F,28,913,28,913,18,0.476,0.45,0.32,0.187,6.7,13,15.2,2.5,5.4,18.6,21.5,90,95,0.8,0.8,1.5,0.067,-1.259747365,1.02455663,-0.235190735,2.146457677,3.06636811,0.094039767
reissta01w,1997,Tammi Reiss,UTA,G,28,831,28,831,9.6,0.423,0.377,0.437,0.238,3.9,5.3,20.8,1.5,0.2,19.3,17,87,105,0.2,-0.7,-0.5,-0.024,-0.965933694,-3.489777187,-4.455710882,0.054704831,0.078149758,0.002633205
groomla01w,1997,Lady Grooms,UTA,F,28,691,28,691,6.9,0.4,0.35,0.06,0.329,5.3,7,19.2,1.8,0.2,29.2,17.4,72,103,-1.3,-0.4,-1.8,-0.102,-3.148690202,-3.859947904,-7.008638107,-0.909653265,-1.299504664,-0.052657208
williki01w,1997,Kim Williams,UTA,G,28,608,28,608,14.2,0.448,0.404,0.148,0.231,6.2,7.7,22.2,3.3,0.9,18.4,22.7,88,99,0.4,0,0.4,0.026,-0.789721418,-1.001356403,-1.791077821,0.917212137,1.310303053,0.060342904
headde01w,1997,Dena Head,UTA,G,27,471,27,471,11.2,0.494,0.426,0.235,0.331,5.2,7.7,20.5,1.6,1.3,28.1,20.5,84,102,-0.1,-0.2,-0.3,-0.027,-2.319503454,-3.649953693,-5.969457147,-0.355027871,-0.507182672,-0.030150987
bookeka01w,1997,Karen Booker,UTA,C,26,321,26,321,7.6,0.4,0.333,0.05,0.617,11.7,14.4,14.2,4,3.7,39.1,17.4,65,93,-1,0.4,-0.7,-0.084,-4.469740765,0.680837871,-3.788902895,0.137024476,0.195749251,0.017074701
cartede01w,1997,Deborah Carter,UTA,G-F,18,286,18,286,9.9,0.422,0.391,0.09,0.179,8.5,9.9,5.8,2.4,0.3,14.3,15.3,87,101,0.1,-0.1,0,0.005,-1.459539069,-1.925177479,-3.384716547,0.184673266,0.263818951,0.025828429
kossgr01w,1997,Greta Koss,UTA,F,13,268,13,268,9.1,0.61,0.552,0.103,0.552,5,8,7,1.8,1.2,33.3,9,91,102,0.1,-0.1,0,0.005,-0.786062946,-2.450523604,-3.23658655,0.194545065,0.277921522,0.029036577
hicksje01w,1997,Jessie Hicks,UTA,C-F,26,263,26,263,12.4,0.477,0.463,0.013,0.2,7.2,7.9,8.5,2.6,3.3,12.1,16.8,96,99,0.4,0,0.4,0.06,-0.854412137,-0.585559452,-1.439971589,0.446751793,0.638216847,0.067947041
scottra01w,1997,Raegan Scott,UTA,F-C,8,43,8,43,16,0.432,0.385,0,0.154,10.3,9.4,4.9,1.2,5.5,0,14.4,109,102,0.1,0,0.1,0.092,-0.142922968,-1.360527449,-1.503450417,0.071565156,0.102235937,0.066572238
compame01w,1997,Megan Compain,UTA,G,5,19,5,19,3.2,0.357,0.357,0.571,0,0,15.2,21.7,11.2,4.2,46.2,30.5,44,72,-0.2,0.1,-0.1,-0.241,-13.57300268,9.828616413,-3.744386266,0.008568443,0.012240632,0.018038827
